,이름,주소
156,서판교DT점,경기 성남시 분당구 운중로 190(지번) 운중동 1017
157,수원정자DT점,경기 수원시 장안구 수성로 267(지번) 정자동 76-18
158,구리수택점,경기 구리시 검배로 7(지번) 수택동 526-5
159,포천DT점,경기 포천시 호국로 894(지번) 설운동 13-7
160,수내역점,경기 성남시 분당구 백현로101번길 29(지번) 수내동 18-1
161,상일동점,서울 강동구 상일로6길 39(지번) 상일동 502
162,동수원GS DT점,경기 수원시 영통구 창룡대로 370(지번) 이의동 835
163,용인수지DT점,경기 용인시 수지구 신수로 677(지번) 풍덕천동 43-5
164,상봉이마트점,서울 중랑구 상봉로 118(지번) 망우동 506-1
165,동판교점,경기 성남시 분당구 대왕판교로606번길 58 푸르지오월드마크(지번) 삼평동 741
166,진접DT점,경기 남양주시 진접읍 금강로 1467(지번) 진접읍 장현리 218
167,수원성균관대점,경기 수원시 장안구 서부로 2127 1~3층(지번) 율전동 291-6
168,야탑뉴코아점,경기 성남시 분당구 야탑로81번길 11 1층(지번) 야탑동 356
169,하남시청DT점,경기 하남시 대청로 25(지번) 신장동 522-5
170,동두천지행DT점,경기 동두천시 평화로 2290(지번) 지행동 340-1
171,판교테크노밸리점,경기 성남시 분당구 판교역로 231 H스퀘어 S동 1층(지번) 삼평동 680
172,분당효자점,경기 성남시 분당구 불정로 379 분당서현프라자(지번) 서현동 305-2
173,수원화성DT점,경기 수원시 팔달구 경수대로 676(지번) 우만동 490-4
174,수원인계DT점,경기 수원시 팔달구 권광로 261(지번) 인계동 363-3
175,수원GS DT점,경기 수원시 권선구 권선로 684(지번) 권선동 1029
176,덕소점,경기 남양주시 와부읍 덕소로 93(지번) 와부읍 덕소리 474-5
177,수원세류DT점,경기 수원시 권선구 경수대로 195(지번) 세류동 1155-8
178,북수원DT점,경기 수원시 장안구 경수대로 991(지번) 송죽동 451-1
179,한국본사,서울 종로구 종로 51 종로타워 14층(지번) 공평동 70
180,산본이마트점,경기 군포시 산본로 347(지번) 산본동 1123
181,수원아주대점,경기 수원시 영통구 아주로 46(지번) 원천동 18-1
182,평내DT점,경기 남양주시 경춘로 1273(지번) 평내동 246-21
183,용인수지점,경기 용인시 수지구 풍덕천로 119 로얄스포츠센타 1층(지번) 풍덕천동 1078
184,용인마북DT점,경기 용인시 기흥구 용구대로 2420(지번) 마북동 552-4
185,오리역점,경기 성남시 분당구 성남대로 45 1층(지번) 구미동 157
186,수원망포DT,경기 수원시 영통구 덕영대로 1495(지번) 망포동 21-13
187,화성봉담DT점,경기 화성시 효행로 269(지번) 기안동 357-5
188,한국맥도널드 송정역점 개방화장실,서울 강서구 공항대로 21(지번) 공항동 45-38
189,용인신갈DT점,경기 용인시 기흥구 중부대로 266(지번) 영덕동 40-2
190,동탄SK점,경기 화성시 효행로 1260(지번) 능동 1051-1
191,마석DT점,경기 남양주시 화도읍 비룡로 89(지번) 화도읍 마석우리 481-2
192,용인보라DT점,경기 용인시 기흥구 용구대로 1861(지번) 하갈동 143-11
193,성수이마트점,서울 성동구 뚝섬로 379 3층 푸드코트(지번) 성수동2가 333-16
194,병점DT점,경기 화성시 경기대로 1004(지번) 병점동 372-1
195,경희대국제캠퍼스점,경기 수원시 영통구 덕영대로 1703(지번) 영통동 1024-9
196,연신내점 화장실,서울 은평구 연서로 213(지번) 갈현동 456-28
197,용인동백DT점,경기 용인시 기흥구 어정로 106(지번) 상하동 455-3
198,명지대점 개방화장실,서울 서대문구 거북골로 25(지번) 남가좌동 324-3
199,경기광주DT점,경기 광주시 경충대로 1477(지번) 쌍령동 155-18
200,강남대점,경기 용인시 기흥구 강남로 13(지번) 구갈동 579-1
201,화성향남DT점,경기 화성시 향남읍 행정남로 120(지번) 향남읍 방축리 297-75
202,연대점 개방화장실,서울 서대문구 연세로 33(지번) 창천동 33-12
203,오산세교DT점,경기 오산시 경기대로 651(지번) 내삼미동 466-1
204,용인시청DT점,경기 용인시 처인구 중부대로 1166(지번) 삼가동 250-34
205,종로3가 개방화장실,서울 종로구 종로 115(지번) 종로3가 10
206,오산DT점,경기 오산시 경기대로 170(지번) 원동 372-5
207,개방화장실,서울 동작구 노량진로 158(지번) 노량진동 100-1
208,용인점,경기 용인시 처인구 금령로 97(지번) 김량장동 131-17
209,성균관대입구사거리(맥도날드) 대여소,서울 종로구 명륜2가 197-4
210,이수역9번출구(맥도날드) 대여소,서울 동작구 사당동 147-115
211,한국 로날드맥도날드하우스,서울 서초구 사평대로55길 82-14 201호(지번) 반포동 724-26
212,대학로 개방화장실,서울 종로구 대학로 130(지번) 동숭동 1-34
213,개방화장실,서울 용산구 이태원로 136-13(지번) 이태원동 56-20
214,노량진동 맥도널드앞 대여소,서울 동작구 노량진로 158(지번) 노량진동 100-1
215,맥도날드(길동) 대여소,서울 강동구 길동 252-91
216,삼선동 개방화장실,서울 성북구 동소문로 13(지번) 동소문동1가 32-3
217,송탄점,경기 평택시 쇼핑로 13(지번) 신장동 302-1
218,평택서정DT점,경기 평택시 경기대로 1395(지번) 서정동 779-5
219,상계점 앞 대여소,서울 노원구 동일로 1652(지번) 상계동 1022
220,청담동 옆(위치) 대여소,서울 강남구 청담동 87-3
221,서울둔촌DT점 앞 대여소,서울 강동구 둔촌동 515
222,평택세교DT점,경기 평택시 경기대로 570(지번) 세교동 277-10
223,이천DT점,경기 이천시 경충대로 2578(지번) 중리동 461-4
224,충남당진DT점,충남 당진시 서해로 5754(지번) 읍내동 423-2
225,마장휴게소점,경기 이천시 마장면 중부고속도로 82(지번) 마장면 목리 산 13-32
226,평택GS,경기 평택시 서동대로 3929(지번) 용이동 470-5
227,평택소사벌점,경기 평택시 평남로 862(지번) 비전동 1090-2
228,춘천퇴계DT점,강원 춘천시 영서로 2173(지번) 퇴계동 418-20
229,천안두정DT점,충남 천안시 서북구 동서대로 49(지번) 두정동 627
230,충남아산DT점,충남 아산시 충무로 37(지번) 온천동 36-28
231,천안원성DT점,충남 천안시 동남구 천안대로 699(지번) 원성동 442-1
232,안성점,경기 안성시 중앙로389번길 6(지번) 대천동 64
233,천안쌍용역DT점,충남 천안시 서북구 충무로 166(지번) 쌍용동 394-10
234,춘천후평DT점,강원 춘천시 후석로 334(지번) 후평동 702-5
235,서산DT점,충남 서산시 충의로 3(지번) 예천동 524-26
236,천안고속버스터미널점,충남 천안시 동남구 만남로 43 1층(지번) 신부동 363-2
237,원주단계DT점,강원 원주시 서원대로 154(지번) 단계동 879-1
238,충남홍성DT점,충남 홍성군 홍성읍 충서로 1528(지번) 홍성읍 소향리 72-4
239,원주단구DT점,강원 원주시 서원대로 426(지번) 단구동 1026-16
240,청주율량GS DT점,충북 청주시 청원구 공항로 156(지번) 율량동 769
241,청주비하DT점,충북 청주시 흥덕구 2순환로 1076(지번) 비하동 671-12
242,청주봉명DT점,충북 청주시 흥덕구 1순환로 518(지번) 봉명동 1405
243,청주분평DT점,충북 청주시 서원구 청남로 1991(지번) 분평동 241-4
244,충주교현DT점,충북 충주시 국원대로 87(지번) 교현동 624-1
245,청주성화점,충북 청주시 서원구 서부로 1344(지번) 성화동 721
246,청주금천DT점,충북 청주시 상당구 중고개로 281(지번) 금천동 44-1
247,충남보령DT점,충남 보령시 터미널길 3(지번) 궁촌동 345-4
