,이름,주소
164,선릉점,서울 강남구 테헤란로 337(지번) 역삼동 705-27
165,역삼점,서울 강남구 테헤란로25길 20(지번) 역삼동 642-1
166,한양대점,서울 성동구 마조로 11 1층(지번) 행당동 19-98
167,서초법원점,서울 서초구 법원로1길 1(지번) 서초동 1717-4
168,경희대점,서울 동대문구 경희대로 5-1 1층(지번) 회기동 16-70
169,미아사거리역점,서울 강북구 도봉로 41-1(지번) 미아동 864-8
170,쌍문역점,"서울 도봉구 도봉로 468 1층 102호, 102-1호(지번) 창동 655-20"
171,안양1번가점,경기 안양시 만안구 만안로223번길 7(지번) 안양동 674-10
172,국민대학교점,서울 성북구 정릉로 77(지번) 정릉동 861-1
173,삼성점,서울 강남구 삼성로 520(지번) 삼성동 156-5
174,동덕여대점,서울 성북구 화랑로13길 10 1층(지번) 하월곡동 17-10
175,강남우성점,서울 강남구 강남대로66길 6(지번) 역삼동 837-1
176,서울숲점,서울 성동구 왕십리로 108-1(지번) 성수동1가 656-1066
177,언주역점,서울 강남구 봉은사로 206 대명빌딩(지번) 역삼동 650-2
178,안양범계점,경기 안양시 동안구 시민대로 167 안양벤처텔(지번) 비산동 1107-1
179,충무로점,서울 중구 퇴계로 197(지번) 필동2가 10
180,망우점,서울 중랑구 용마산로115길 127 한일써너스빌리젠시1단지(지번) 망우동 479
181,건대입구점,서울 광진구 아차산로 241 연한빌딩 102호(지번) 화양동 6-2
182,써브웨이통상,서울 강서구 마곡서1로 111-11(지번) 마곡동 740
183,신금호점,서울 성동구 금호동2가 1 신금호파크자이상가
184,안산중앙점,경기 안산시 단원구 예술대학로 17(지번) 고잔동 534-3
185,잠실역점,서울 송파구 올림픽로 293-19 현대타워 101호(지번) 신천동 7-28
186,장안사거리점,서울 동대문구 답십리로 293(지번) 장안동 330-2
187,군자역점,서울 광진구 능동로 290 삼일빌딩(지번) 능동 279-5
188,중랑역점,서울 중랑구 망우로 203(지번) 중화동 208-33
189,종암점,서울 성북구 종암로 110 1층(지번) 종암동 3-1192
190,학동역점,서울 강남구 학동로 171 1층 103호(지번) 논현동 58-10
191,안양인덕원역점,경기 안양시 동안구 관악대로 486(지번) 관양동 1488-13
192,성수역점,서울 성동구 아차산로 113(지번) 성수동2가 300-1
193,경기서인천지사,경기 부천시 소향로 31 청죽타워빌딩 601호(지번) 상동 546-9
194,묵동점,서울 중랑구 동일로 952 101-1호(지번) 묵동 169-12
195,공릉점,서울 노원구 공릉로 207(지번) 공릉동 441-19
196,안양평촌스마트스퀘어점,경기 안양시 동안구 시민대로327번길 6 112호(지번) 관양동 1019-5
197,안산고잔점,경기 안산시 단원구 광덕대로 151(지번) 고잔동 708-2
198,외대점,서울 동대문구 이문로 116 1층(지번) 이문동 288-7
199,광운대역점,서울 노원구 광운로 57(지번) 월계동 383-16
200,선정릉역점,서울 강남구 봉은사로 328(지번) 역삼동 682-7
201,석촌호수점,서울 송파구 석촌호수로 298 잠실대우레이크월드 101호(지번) 송파동 58-1
202,잠실새내역점,서울 송파구 올림픽로 130(지번) 잠실동 184-7
203,포이사거리점,서울 강남구 논현로 84 1층(지번) 개포동 1229-3
204,산본로데오점,경기 군포시 광정로 60 1층(지번) 산본동 1143-2
205,강변역점,서울 광진구 강변역로4길 10(지번) 구의동 546-11
206,안양평촌학원가점,경기 안양시 동안구 평촌대로 119 원평비젼프라자(지번) 호계동 1065-5
207,뚝섬유원지역점,"서울 광진구 뚝섬로34길 67 광진트라팰리스 101,102호(지번) 자양동 854"
208,천호점,서울 강동구 올림픽로 664(지번) 천호동 425-5
209,봉은사역점,서울 강남구 봉은사로 627(지번) 삼성동 109-17
210,양주옥정점,경기 양주시 옥정로 214 1층(지번) 옥정동 963-7
211,세종대점,서울 광진구 광나루로 390(지번) 화양동 206
212,송파역점,서울 송파구 송파대로 374(지번) 송파동 97-31
213,문정역점,서울 송파구 법원로 114 현대엠스테이트 C동 119호(지번) 문정동 221-5
214,고덕역점,서울 강동구 동남로75길 13-10(지번) 명일동 47-3
215,남양주다산역점,"경기 남양주시 다산중앙로145번길 9 101,102호(지번) 다산동 6063-3"
216,상봉역점,"서울 중랑구 망우로 316 107, 108호(지번) 상봉동 101"
217,분당서현점,경기 성남시 분당구 서현로 184 엘지분당에클라트(지번) 서현동 251-3
218,구의점,"서울 광진구 자양로 113 구의현대하이엘 103,1044호(지번) 자양동 779-11"
219,광장점,서울 광진구 아차산로 480(지번) 구의동 199-8
220,문정법조점,서울 송파구 충민로 5 송파한화오벨리스크(지번) 문정동 622
221,강동성심병원점,서울 강동구 성안로 147(지번) 천호동 447-7
222,성남위례점,경기 성남시 수정구 위례광장로 104 한화오벨리스크 상가 1층(지번) 창곡동 505
223,아차산역점,서울 광진구 천호대로 666(지번) 구의동 76-1
224,테헤란로점,서울 강남구 테헤란로 314 지하1층(지번) 역삼동 707-3
225,안산한대역점,경기 안산시 상록구 광덕1로 385(지번) 이동 715
226,중계은행사거리점,서울 노원구 한글비석로 269 1층(지번) 중계동 359-9
227,대청점,서울 강남구 일원로3길 4(지번) 일원동 683-1
228,의왕포일점,경기 의왕시 안양판교로 101 1층(지번) 포일동 661-1
229,서브웨이호텔 시흥,경기 시흥시 호현로10번길 15-3(지번) 신천동 707-15
230,산본사거리점,경기 군포시 고산로 694 1층(지번) 산본동 207-9
231,상일동점,서울 강동구 상일로6길 21 1층(지번) 상일동 501-2
232,성남단대오거리역점,경기 성남시 중원구 산성대로372번길 10(지번) 금광동 10
233,수원장안구청점,경기 수원시 장안구 경수대로 927 성원빌딩 1층(지번) 송죽동 499-6
234,수원호매실점,경기 수원시 권선구 금곡로 204(지번) 금곡동 1118-1
235,성남태평점,경기 성남시 수정구 수정로 179(지번) 태평동 7288-13
236,안산한양대점,경기 안산시 상록구 한양대학로 60(지번) 사동 1569-4
237,석촌역점,"서울 송파구 송파대로 438 1층 106, 107호(지번) 송파동 19-2"
238,동두천점,경기 동두천시 평화로 2552-1(지번) 보산동 362-14
239,수서역점,서울 강남구 밤고개로1길 10(지번) 수서동 713
240,수원인계점,경기 수원시 팔달구 권광로 204(지번) 인계동 1114-9
241,성남시청점,경기 성남시 중원구 성남대로997번길 51-20(지번) 여수동 207
242,천호역점,서울 강동구 천호대로 1012(지번) 성내동 62-4
243,분당정자점,경기 성남시 분당구 성남대로331번길 13(지번) 정자동 159-1
244,성남터미널점,경기 성남시 분당구 성남대로925번길 16(지번) 야탑동 341
245,광교중앙점,경기 수원시 영통구 센트럴타운로 107(지번) 이의동 1331
246,수원천천점,경기 수원시 장안구 만석로19번길 11-2 천경빌딩 1층 4~6호(지번) 천천동 527-9
247,판교브릿지타워점,경기 성남시 분당구 판교로227번길 6(지번) 삼평동 617
248,분당수내점,경기 성남시 분당구 백현로101번길 21 풍해빌딩 1층(지번) 수내동 20-1
249,수원성균관대점,경기 수원시 장안구 서부로 2066 학생회관 2층(지번) 천천동 300
250,수원아주대점,경기 수원시 팔달구 아주로 49-1(지번) 우만동 571-2
251,용인죽전점,경기 용인시 기흥구 죽전로 20 죽전누리에뜰아파트 상가 B동 121호(지번) 보정동 1263
252,하남미사역점,경기 하남시 미사강변동로 74(지번) 망월동 1134
253,분당미금역점,경기 성남시 분당구 돌마로 52(지번) 구미동 8-2
254,광교엘포트점,경기 수원시 영통구 광교중앙로 145(지번) 이의동 1336-1
255,수원영통구청점,경기 수원시 영통구 효원로 383(지번) 매탄동 1267-2
256,수원망포역점,경기 수원시 영통구 영통로 195 골든스퀘어(지번) 망포동 28-2
257,서판교점,경기 성남시 분당구 운중로 142 판교메디컬타워 1층(지번) 운중동 940
258,수원역사점,경기 수원시 팔달구 덕영대로 924 3층(지번) 매산로1가 18
259,써브웨이,경기 화성시 수노을중앙로 130(지번) 새솔동 76-6
260,중곡역점,서울 광진구 능동로 400(지번) 중곡동 30-80
261,신정네거리점,서울 양천구 중앙로 265(지번) 신정동 1183-5
262,광교경기대후문점,경기 수원시 영통구 대학로 34(지번) 이의동 1258-4
263,수원영통점,경기 수원시 영통구 봉영로 1623(지번) 영통동 958-1
264,화성남양점,경기 화성시 남양읍 시청로 6(지번) 남양읍 남양리 2253-2
265,길동역점,"서울 강동구 양재대로 1471 1층 103,110호(지번) 길동 389-2"
266,용인기흥구청점,경기 용인시 기흥구 구갈로 71-18 기흥더샵프라임뷰(지번) 신갈동 733
